--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
345,Ryan Whitney,2014,2014,1,7,0,0,0,-7,6,0,0,0,0,0,0,0,8,0.0,117,16:45,whitnry01
346,Mark Cullen,2012,2012,1,6,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,48,8:00,cullema02
347,David Emma,2001,2001,1,6,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,44,7:23,emmada01
348,Craig Ferguson,1997,2000,2,6,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,17,5:34,fergucr01
349,Yan Golubovsky,2001,2001,1,6,0,2,2,3,2,0,0,0,0,2,0,0,4,0.0,100,16:38,golubya01
350,Ty Jones,2004,2004,1,6,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,19,3:05,jonesty01
351,Alexander Karpovtsev,2006,2006,1,6,0,0,0,-3,4,0,0,0,0,0,0,0,4,0.0,66,11:05,karpoal01
352,Garth Murray,2008,2008,1,6,0,0,0,0,19,0,0,0,0,0,0,0,3,0.0,31,5:09,murraga01
353,Andrej Podkonický,2001,2001,1,6,1,0,1,0,2,1,0,0,0,0,0,0,5,20.0,36,6:04,podkoan01
354,Jeff Ware,1999,1999,1,6,0,1,1,-6,6,0,0,0,0,1,0,0,1,0.0,96,15:57,wareje01
355,Gilbert Dionne,1996,1996,1,5,1,2,3,0,0,1,0,0,0,2,0,0,12,8.3,,,dionngi01
356,Henrik Haapala,2018,2018,1,5,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,69,13:42,haapahe01
357,Bracken Kearns,2012,2012,1,5,0,0,0,0,10,0,0,0,0,0,0,0,0,,36,7:14,kearnbr01
358,Martin Lojek,2007,2008,2,5,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,37,7:29,lojekma01
359,Dylan McIlrath,2017,2017,1,5,1,0,1,-2,10,1,0,0,0,0,0,0,3,33.3,48,9:34,mcilrdy01
360,Josh Olson,2004,2004,1,5,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,41,8:17,olsonjo01
361,Jon Rheault,2013,2013,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,53,10:34,rheaujo01
362,Dave Tomlinson,1995,1995,1,5,0,0,0,-2,0,0,0,0,0,0,0,0,0,,,,tomlida01
363,Herberts Vasiļjevs,1999,1999,1,5,0,0,0,-1,2,0,0,0,0,0,0,0,6,0.0,56,11:06,vasilhe01
364,Eric Boguniecki,2000,2000,1,4,0,0,0,-1,2,0,0,0,0,0,0,0,5,0.0,34,8:35,boguner01
365,Craig Fisher,1997,1997,1,4,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,,,fishecr01
366,Casey Fitzgerald,2023,2023,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,5:23,fitzgca01
367,Jeff Greenlaw,1994,1994,1,4,0,1,1,-1,2,0,0,0,0,1,0,0,6,0.0,,,greenje01
368,Noah Juulsen,2021,2021,1,4,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,48,11:58,juulsno01
369,Patrick Lebeau,1994,1994,1,4,1,1,2,0,4,0,1,0,0,0,1,0,4,25.0,,,lebeapa01
370,Jamie Linden,1995,1995,1,4,0,0,0,-1,17,0,0,0,0,0,0,0,0,,,,lindeja01
371,Stefan Meyer,2008,2008,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,2:26,meyerst01
