--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
142,Marcus Johansson,2021,2023,2,56,12,20,32,-4,4,8,3,1,5,12,8,0,88,13.6,928,16:34,johanma03
143,Gustav Olofsson,2016,2018,3,56,0,11,11,-1,16,0,0,0,0,10,1,0,30,0.0,717,12:49,olofsgu01
144,Nick Bonino,2021,2021,1,55,10,16,26,0,26,7,3,0,2,14,2,0,66,15.2,817,14:51,boninni01
145,Aaron Voros,2008,2008,1,55,7,7,14,-7,141,7,0,0,1,6,1,0,52,13.5,505,9:11,vorosaa01
146,Curtis Leschyshyn,2001,2001,1,54,2,3,5,-2,19,1,1,0,1,2,1,0,43,4.7,1054,19:31,leschcu01
147,Cam Stewart,2001,2001,1,54,4,9,13,-3,18,3,0,1,0,8,1,0,61,6.6,713,13:12,stewaca01
148,Ian Cole,2021,2021,1,52,1,7,8,21,32,1,0,0,1,7,0,0,28,3.6,828,15:55,coleia01
149,Jarret Stoll,2016,2016,1,51,3,3,6,-4,16,3,0,0,0,3,0,0,23,13.0,575,11:16,stollja01
150,Andrew Ebbett,2010,2010,1,49,8,6,14,-8,6,6,2,0,2,3,3,0,57,14.0,642,13:06,ebbetan01
151,Mike Rupp,2013,2014,2,45,1,4,5,2,90,1,0,0,0,4,0,0,33,3.0,365,8:07,ruppmi01
152,Casey Wellman,2010,2012,3,41,4,9,13,-7,4,4,0,0,2,7,2,0,63,6.3,483,11:46,wellmca01
153,Dominic Moore,2007,2008,2,40,3,2,5,-8,20,3,0,0,1,2,0,0,39,7.7,460,11:31,mooredo01
154,Jordie Benn,2022,2022,1,39,1,7,8,1,10,1,0,0,0,7,0,0,37,2.7,584,14:59,bennjo01
155,Jed Ortmeyer,2011,2012,2,39,1,1,2,-9,16,1,0,0,1,1,0,0,46,2.2,378,9:41,ortmeje01
156,Robbie Earl,2010,2011,2,38,6,0,6,-2,6,6,0,0,0,0,0,0,35,17.1,339,8:55,earlro01
157,Erik Reitz,2006,2009,3,37,1,1,2,-3,45,1,0,0,0,1,0,0,15,6.7,382,10:19,reitzer01
158,Craig Weller,2009,2009,1,36,1,2,3,-3,47,0,1,0,0,2,0,0,27,3.7,250,6:57,wellecr01
159,Christoph Brandner,2004,2004,1,35,4,5,9,-2,8,3,1,0,0,3,2,0,50,8.0,467,13:20,brandch01
160,Sean Hill,2008,2008,1,35,2,7,9,-16,32,1,1,0,1,3,4,0,18,11.1,532,15:12,hillse01
161,Jeremy Stevenson,2003,2004,2,35,5,6,11,5,71,4,1,0,1,6,0,0,34,14.7,380,10:51,steveje01
162,Dan Fritsche,2009,2009,1,34,4,5,9,-3,10,2,1,1,0,4,1,0,34,11.8,379,11:09,fritsda01
