--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
141,Johnny Oduya,2012,2017,5,234,10,35,45,29,82,10,0,0,1,32,1,2,254,3.9,4792,20:29,oduyajo01
142,František Kučera,1991,1994,4,232,14,49,63,22,161,9,5,0,2,35,14,0,354,4.0,,,kucerfr01
143,Jack McIntyre,1954,1958,5,231,52,39,91,,98,43,9,0,4,35,4,0,,,,,mcintja01
144,Tuomo Ruutu,2004,2008,4,228,48,60,108,-31,259,35,13,0,5,46,14,0,390,12.3,3732,16:22,ruututu01
145,Adam Creighton,1989,1997,5,225,78,87,165,-3,480,44,32,2,12,57,27,3,448,17.4,,,creigad01
146,Sergei Krivokrasov,1993,1998,6,225,42,41,83,13,146,33,9,0,8,40,1,0,362,11.6,,,krivose01
147,Dylan Strome,2019,2022,4,225,60,94,154,-19,72,46,14,0,7,65,29,0,399,15.0,3738,16:37,stromdy01
148,John Mariucci*,1941,1948,5,224,11,34,45,,328,9,2,0,0,30,4,0,,,,,mariujo01
149,Ralph Nattrass,1947,1950,4,223,18,38,56,,308,15,3,0,1,34,4,0,,,,,nattrra01
150,Clarence Abel,1930,1934,5,222,9,12,21,,214,1,0,1,2,1,0,0,,,,,abelcl01
151,Jean-Yves Leroux,1997,2001,5,220,16,22,38,-27,146,15,1,0,1,21,1,0,200,8.0,1689,11:02,lerouje01
152,Nick Mickoski,1955,1958,4,220,49,65,114,,138,41,7,1,8,52,11,2,,,,,mickoni01
153,Boris Mironov,1999,2003,5,220,21,69,90,4,231,11,8,2,2,41,27,1,465,4.5,5031,22:52,mironbo01
154,Steve Poapst,2001,2004,4,220,7,23,30,7,118,7,0,0,1,20,1,2,179,3.9,4340,19:44,poapsst01
155,Martin Lapointe,2006,2008,3,216,30,32,62,-47,251,18,11,1,5,26,6,0,276,10.9,2806,13:00,lapoima01
156,Cy Wentworth,1928,1932,5,216,17,24,41,,149,,,,3,,,,,,,,wentwcy01
157,Lou Trudel,1934,1938,5,215,28,45,73,,94,26,2,0,6,38,7,0,,,,,trudelo01
158,Terry Ruskowski,1980,1983,4,211,30,138,168,-25,609,19,10,1,5,100,36,2,249,12.0,,,ruskote01
159,Adam Brown,1947,1951,5,210,38,61,99,,244,27,11,0,5,46,14,1,,,,,brownad01
160,Ethan Moreau,1996,1999,4,210,33,32,65,9,284,31,2,0,2,31,1,0,282,11.7,825,12:30,moreaet01
161,Joe Murphy,1993,1996,4,210,83,96,179,2,304,52,27,4,11,54,40,2,597,13.9,,,murphjo01
162,Earl Balfour,1959,1961,3,208,16,16,32,1,30,9,2,5,2,13,0,3,144,4.2,,,balfoea01
163,Michal Rozsíval,2013,2017,5,207,4,45,49,25,115,4,0,0,1,41,2,2,165,2.4,3459,16:43,rozsimi01
164,Alex Kaleta,1942,1948,4,206,60,84,144,,118,51,7,2,4,72,11,1,,,,,kaletal01
165,Ted Lindsay*,1958,1960,3,206,44,79,123,-1,385,31,13,0,6,62,17,0,104,6.7,,,lindste01
166,Andrew Ladd,2008,2016,4,203,45,66,111,29,105,41,4,0,4,59,6,1,436,10.3,2930,14:26,laddan01
167,Viktor Stålberg,2011,2013,3,203,43,47,90,24,102,43,0,0,10,44,3,0,463,9.3,2599,12:48,stalbvi01
168,Dominik Kubalík,2020,2022,3,202,62,54,116,-17,50,51,11,0,4,34,20,0,474,13.1,2979,14:45,kubaldo01
169,Clint Smith*,1944,1947,4,202,81,121,202,,12,64,17,0,4,94,26,1,,,,,smithcl01
170,Jerry Dupont,1982,1986,5,201,7,29,36,-22,445,7,0,0,1,28,1,0,174,4.0,,,duponje01
171,Cam Barker,2006,2010,5,200,17,63,80,-14,219,6,11,0,2,28,34,1,256,6.6,3376,16:53,barkeca01
172,Frank Martin,1955,1958,4,200,8,27,35,,78,7,1,0,0,23,4,0,,,,,martifr01
173,Jim Cummins,1995,1998,4,199,11,13,24,-9,674,11,0,0,2,13,0,0,148,7.4,,,cummiji01
174,Alex Levinsky,1935,1939,5,197,8,24,32,,171,8,0,0,0,20,4,0,,,,,levinal01
175,Peter Marsh,1981,1984,4,197,24,44,68,-17,156,24,0,0,2,40,1,3,377,6.4,,,marshpe01
176,Jerry Korab,1971,1973,3,196,25,34,59,20,341,21,3,1,3,28,4,2,321,7.8,,,korabje01
177,Tod Sloan,1959,1961,3,195,58,78,136,12,189,39,19,0,9,53,25,0,294,10.5,,,sloanto01
178,Igor Korolev,2002,2004,3,192,16,35,51,-21,72,14,1,1,3,29,4,2,148,10.8,2728,14:13,korolig01
179,Gilles Marotte,1968,1970,3,192,10,63,73,25,294,9,1,0,2,58,3,2,386,2.6,,,marotgi01
180,Philipp Kurashev,2021,2023,3,191,23,39,62,-57,38,19,4,0,4,29,10,0,267,8.6,2787,14:35,kurasph01
181,Ken Yaremchuk,1984,1986,3,188,30,43,73,-28,78,28,2,0,2,40,3,0,203,14.8,,,yaremke01
182,Jimmy Peters,1952,1954,3,186,43,46,89,,55,37,5,1,4,38,7,1,,,,,peterji01
183,Duane Sutter,1988,1990,3,184,18,32,50,-11,440,15,3,0,2,30,2,0,227,7.9,,,suttedu01
184,Rene Bourque,2006,2008,3,183,33,42,75,5,136,21,6,6,5,32,8,2,365,9.0,2833,15:29,bourqre01
185,Ted Graham,1928,1933,5,183,5,20,25,,182,,,,1,,,,,,,,grahate01
186,Alexander Karpovtsev,2001,2004,4,182,7,39,46,-19,105,2,4,1,1,26,11,2,159,4.4,3773,20:44,karpoal01
187,Al Arbour*,1959,1961,3,180,6,17,23,12,188,6,0,0,0,17,0,0,61,6.6,,,arboual01
188,Gary Nylund,1987,1989,3,179,14,37,51,-20,461,12,2,0,0,32,3,2,241,5.8,,,nylunga01
189,Jim Conacher,1949,1952,4,178,49,71,120,,71,40,9,0,6,61,10,0,,,,,conacji01
190,Pete Horeck,1945,1952,4,178,53,54,107,,112,47,6,0,3,41,13,0,,,,,horecpe01
191,Dave Logan,1976,1980,5,178,4,24,28,-41,348,3,1,0,1,23,0,1,177,2.3,,,loganda01
192,Gaye Stewart,1948,1950,3,178,70,66,136,,172,60,10,0,8,51,15,0,,,,,stewaga01
193,Don McFadyen,1933,1936,4,176,12,34,46,,77,5,1,1,2,19,4,1,,,,,mcfaddo01
194,Vic Ripley,1929,1933,5,174,41,24,65,,125,,,,9,,,,,,,,riplevi01
195,Martin Havlát,2007,2009,3,172,64,97,161,48,80,51,13,0,8,72,24,1,512,12.5,3259,18:57,havlama01
196,Jon Klemm,2002,2004,3,171,6,31,37,-6,106,3,3,0,2,25,6,0,204,2.9,3897,22:47,klemmjo01
197,Doug McCaig,1949,1951,3,171,3,12,15,,138,3,0,0,0,11,1,0,,,,,mccaido01
198,Jim Vandermeer,2004,2008,4,171,11,41,52,-8,271,6,4,1,1,32,7,2,203,5.4,3493,20:25,vandeji01
199,Art Coulter*,1932,1936,5,170,13,14,27,,204,10,0,0,5,9,2,0,,,,,coultar01
200,Adam Burish,2007,2010,4,169,11,10,21,-12,323,10,0,1,3,10,0,0,173,6.4,1773,10:30,burisad01
201,Dave Feamster,1982,1985,4,169,13,24,37,7,154,13,0,0,0,24,0,0,143,9.1,,,feamsda01
202,Bryan Campbell,1970,1972,3,168,23,51,74,26,50,20,3,0,2,47,4,0,249,9.2,,,campbbr01
203,Ryan Carpenter,2020,2022,3,168,10,21,31,-26,83,7,1,2,2,18,1,2,192,5.2,2232,13:17,carpery01
204,Harry Watson*,1955,1957,3,168,36,49,85,,19,32,4,0,2,33,16,0,,,,,watsoha02
205,James Wisniewski,2006,2009,4,168,13,43,56,21,192,10,2,1,0,32,11,0,232,5.6,3004,17:53,wisnija01
206,Stu Grimson,1991,1993,3,167,3,4,7,-3,610,2,1,0,0,4,0,0,51,5.9,,,grimsst01
207,Mike O'Connell,1978,1981,4,166,18,61,79,3,106,13,4,1,2,37,23,1,333,5.4,,,oconnmi01
208,Dan Vincelette,1988,1992,4,166,20,20,40,-31,288,17,3,0,0,16,4,0,173,11.6,,,vinceda01
209,Bob Goldham,1948,1950,3,165,5,29,34,,138,5,0,0,0,28,1,0,,,,,goldhbo01
210,Wayne Hillman,1962,1965,4,164,4,12,16,27,145,4,0,0,0,11,0,1,165,2.4,,,hillmwa01
