--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
272,Michael Pezzetta,2022,2023,2,114,12,14,26,-11,158,12,0,0,0,13,1,0,119,10.1,987,8:39,pezzemi01
273,Lucien DeBlois,1985,1986,2,112,26,28,54,12,68,19,6,1,3,25,3,0,189,13.8,,,deblolu01
274,Mario Roberge,1991,1995,5,112,7,7,14,-1,314,7,0,0,3,7,0,0,37,18.9,,,roberma01
275,Donald Brashear,1994,1997,4,111,3,7,10,-17,358,3,0,0,1,7,0,0,56,5.4,,,brashdo01
276,Chris Wideman,2022,2023,2,110,4,29,33,-31,148,4,0,0,1,15,14,0,107,3.7,1574,14:18,widemch01
277,Patrick Traverse,2001,2003,3,109,4,19,23,-24,48,2,2,0,0,12,7,0,103,3.9,2179,20:00,travepa01
278,Joe Carveth,1948,1950,3,107,17,33,50,,18,11,5,1,3,19,13,1,,,,,carvejo01
279,Trevor Linden,2000,2001,2,107,25,38,63,-5,86,15,10,0,6,25,13,0,183,13.7,2077,19:25,lindetr01
280,Chris Murray,1995,1997,3,107,7,6,13,-3,281,7,0,0,1,6,0,0,64,10.9,,,murrach01
281,Bert Corbeau,1918,1922,5,106,35,22,57,,273,,,,2,,,,,,,,corbebe01
282,Nicolas Deslauriers,2018,2019,2,106,12,7,19,-5,77,11,0,1,1,6,0,1,125,9.6,1154,10:53,deslani01
283,Jason Ward,2000,2004,4,105,10,10,20,8,43,7,3,0,1,8,1,1,94,10.6,1154,10:59,wardja01
284,Pierre Turgeon,1995,1997,3,104,50,77,127,35,50,30,19,1,8,50,26,1,386,13.0,,,turgepi01
285,Brett Clark,1998,1999,2,102,3,2,5,-6,36,3,0,0,0,2,0,0,62,4.8,804,13:11,clarkbr01
286,Jonas Höglund,1998,1999,2,102,14,15,29,-3,22,9,5,0,0,12,3,0,184,7.6,876,11:50,hoglujo01
287,Erik Cole,2012,2013,2,101,38,29,67,12,58,27,11,0,8,25,4,0,282,13.5,1817,17:59,coleer01
288,Dave Manson,1997,1999,3,101,5,33,38,18,193,3,2,0,0,23,10,0,181,2.8,190,17:19,mansoda01
289,Tom Pyatt,2010,2011,2,101,4,8,12,-6,19,4,0,0,0,6,0,2,113,3.5,1092,10:49,pyattto01
290,Sprague Cleghorn*,1922,1925,4,98,42,31,73,,248,,,,4,,,,,,2,,cleghsp01
291,Newsy Lalonde*,1918,1922,5,98,125,42,167,,183,,,,14,,,,,,,,lalonne01
292,Art Lesieur,1929,1936,4,97,4,2,6,,52,1,0,0,1,0,0,0,,,,,lesiear01
293,Leon Rochefort,1964,1971,5,97,16,18,34,24,10,13,0,3,5,17,0,1,113,14.2,,,rochele01
294,Herb Gardiner*,1927,1929,3,96,10,10,20,,48,,,,1,,,,,,,,gardihe01
295,Gizzy Hart,1927,1933,3,96,6,9,15,,12,,,,1,,,,,,,,hartgi01
296,Karl Alzner,2018,2020,3,95,1,12,13,-7,42,1,0,0,0,11,0,1,96,1.0,1858,19:33,alzneka01
