--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
195,Philippe Myers,2019,2021,3,115,6,23,29,2,54,6,0,0,0,23,0,0,180,3.3,2008,17:28,myersph01
196,Claude Boivin,1992,1994,3,114,11,18,29,-18,320,11,0,0,1,18,0,0,78,14.1,,,boivicl01
197,Al Conroy,1992,1994,3,114,9,14,23,-12,156,8,0,1,1,13,1,0,89,10.1,,,conroal01
198,Marcus Ragnarsson,2003,2004,2,113,9,15,24,17,90,6,3,0,2,8,6,1,134,6.7,2374,21:01,ragnama01
199,Radovan Somík,2003,2004,2,113,12,20,32,7,27,11,0,1,2,20,0,0,136,8.8,1533,13:34,somikra01
200,Ed Hospodar,1985,1987,3,112,8,7,15,-1,321,7,0,1,1,7,0,0,78,10.3,,,hospoed01
201,Ben Eager,2006,2008,3,111,9,10,19,-21,313,9,0,0,0,10,0,0,80,11.3,830,7:29,eagerbe01
202,Rob DiMaio,1994,1996,3,109,12,21,33,9,117,10,1,1,1,20,0,1,113,10.6,,,dimairo01
203,Chris Gratton,1998,1999,2,108,23,47,70,3,200,18,5,0,2,37,10,0,236,9.7,375,14:25,grattch01
204,Dave Hoyda,1978,1979,2,108,4,16,20,-3,257,4,0,0,0,16,0,0,47,8.5,,,hoydada01
205,Andrei Lomakin,1992,1993,2,108,22,28,50,9,60,20,2,0,0,24,3,1,146,15.1,,,lomakan01
206,Nick Cousins,2015,2017,3,107,12,15,27,0,37,11,1,0,1,12,3,0,146,8.2,1203,11:15,cousini01
207,Ryan White,2015,2016,2,107,17,11,28,-5,131,14,3,0,1,10,0,1,133,12.8,1316,12:18,whitery01
208,J.J. Daigneault,1987,1988,2,105,8,18,26,5,68,6,2,0,1,13,5,0,102,7.8,,,daignjj01
209,Peter White,1999,2004,4,104,10,21,31,1,24,9,1,0,1,17,2,2,94,10.6,1295,12:27,whitepe01
210,Paul Evans,1979,1983,3,103,14,25,39,13,34,13,0,1,2,23,1,1,90,15.6,,,evansjo01
211,Nicolas Aubé-Kubel,2019,2022,4,102,10,18,28,-4,69,8,2,0,1,17,1,0,112,8.9,1084,10:38,aubekni01
212,Ryan Parent,2007,2010,4,102,1,6,7,-15,36,1,0,0,0,6,0,0,46,2.2,1617,15:51,parenry01
213,Dan Quinn,1992,1996,2,102,18,40,58,-11,48,9,9,0,1,23,17,0,148,12.2,,,quinnda01
214,Valtteri Filppula,2017,2018,2,101,16,25,41,-9,22,13,3,0,4,22,1,2,93,17.2,1677,16:36,filppva01
215,Peter Forsberg*,2006,2007,2,100,30,85,115,23,118,16,13,1,4,48,37,0,195,15.4,1837,18:22,forsbpe01
216,Craig MacTavish,1995,1996,2,100,8,17,25,-1,85,8,0,0,1,17,0,0,80,10.0,,,mactacr01
217,Dick Sarrazin,1969,1972,3,100,20,35,55,-9,22,11,8,1,3,23,10,2,198,10.1,,,sarradi01
218,Viacheslav Butsayev,1993,1994,2,99,14,23,37,5,119,14,0,0,3,21,2,0,137,10.2,,,butsavi01
219,Noah Cates,2022,2023,2,98,18,29,47,7,16,13,4,1,6,23,5,1,130,13.8,1669,17:02,catesno01
220,Owen Tippett,2022,2023,2,98,31,25,56,-21,18,22,9,0,5,20,5,0,284,10.9,1661,16:57,tippeow01
